patient_id,n_spots_in_tissue,n_spots_missin_tumor_fraction,mean_tumor_fraction,median_tumor_fraction,tile_id,n_initial_tiles,fullres_pixel_size,tile_size_pixels,k_value,mean_tile_purity,median_tile_purity,tile_purity_std,tiles_before_filter,n_tumor_tiles,has_tumor_tiles,tumor_threshold,min_spots,tiles_path,genes_per_signature,n_missing_signatures,n_total_tiles_aggregated,n_tumor_tiles_aggregated,avg_spots_per_tile,has_tumor_fraction
CH_L_275a,4392.0,0.0,0.5259584134625154,0.5723674025726897,"['10-10', '10-11', '10-12', '10-13', '10-14', '10-15', '11-11', '11-12', '11-13', '11-14', '11-15', '6-10', '6-11', '6-12', '6-13', '6-14', '6-15', '7-10', '7-11', '7-12', '7-13', '7-14', '7-15', '8-10', '8-11', '8-12', '8-13', '8-14', '8-15', '9-10', '9-11', '9-12', '9-13', '9-14', '9-15']",35.0,0.40951207934669115,2441.0,2.0,0.5123259947227656,0.5459701297897535,0.18768643087812872,35.0,23.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_275a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,35.0,23.0,163.61,
CH_L_276a,4924.0,0.0,0.3922367752397717,0.35264349295101227,"['10-10', '10-11', '10-12', '10-7', '10-8', '10-9', '11-10', '11-11', '11-12', '11-9', '5-10', '5-11', '5-12', '5-13', '5-8', '5-9', '6-10', '6-11', '6-12', '6-13', '6-8', '6-9', '7-10', '7-11', '7-12', '7-13', '7-8', '7-9', '8-10', '8-11', '8-12', '8-13', '8-8', '8-9', '9-10', '9-11', '9-12', '9-13', '9-7', '9-8', '9-9']",41.0,0.41312746048927573,2420.0,2.0,0.3788399150792005,0.3918978791504654,0.1002364804402091,41.0,22.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_276a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,41.0,22.0,170.86,
CH_L_277a,2192.0,0.0,0.6369686552160477,0.6764513747699302,"['1-10', '1-11', '2-10', '2-11', '2-7', '2-8', '2-9', '3-10', '3-6', '3-7', '3-8', '3-9', '4-10', '4-6', '4-7', '4-8', '4-9', '5-6', '5-7', '5-8', '5-9', '6-6', '6-7']",23.0,0.4195781951914387,2383.0,2.0,0.6133159164888374,0.6091842807217639,0.14750085690366346,23.0,16.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_277a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,23.0,16.0,131.44,
CH_L_278a,4377.0,0.0,0.4045460084222129,0.342231920557574,"['10-10', '10-11', '10-13', '10-14', '10-9', '5-10', '5-11', '5-12', '5-13', '5-14', '5-9', '6-10', '6-11', '6-12', '6-13', '6-14', '6-9', '7-10', '7-11', '7-12', '7-13', '7-14', '7-9', '8-10', '8-11', '8-12', '8-13', '8-14', '8-9', '9-10', '9-11', '9-12', '9-13', '9-14', '9-9']",35.0,0.39629368932606396,2523.0,2.0,0.38188158049193394,0.42082554674770045,0.23221586922171714,35.0,18.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_278a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,35.0,18.0,144.11,
CH_L_279a,4744.0,0.0,0.33451603790671397,0.2281010980342959,"['10-10', '10-11', '10-12', '10-9', '11-10', '11-11', '11-9', '4-11', '4-12', '5-10', '5-11', '5-12', '5-9', '6-10', '6-11', '6-12', '6-13', '6-7', '6-8', '6-9', '7-10', '7-11', '7-12', '7-13', '7-7', '7-8', '7-9', '8-10', '8-11', '8-12', '8-13', '8-14', '8-8', '8-9', '9-10', '9-11', '9-12', '9-13', '9-14', '9-8', '9-9']",41.0,0.4067125957159013,2458.0,2.0,0.3199017625083135,0.2966474965297193,0.20120729194401488,41.0,16.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_279a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,41.0,16.0,147.62,
CH_L_280a,4992.0,0.0,0.7196719617183316,0.8720274950308011,"['10-4', '10-5', '10-6', '10-7', '10-8', '10-9', '11-4', '11-5', '11-6', '11-7', '11-8', '11-9', '5-4', '5-5', '5-6', '6-4', '6-5', '6-6', '6-7', '6-8', '6-9', '7-4', '7-5', '7-6', '7-7', '7-8', '7-9', '8-4', '8-5', '8-6', '8-7', '8-8', '8-9', '9-4', '9-5', '9-6', '9-7', '9-8', '9-9']",39.0,0.4075062489064723,2453.0,2.0,0.6998611510154337,0.7021295931551508,0.16362822148272643,39.0,34.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_280a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,39.0,34.0,144.59,
CH_L_281a,4545.0,0.0,0.44790833602322744,0.4830532777307527,"['10-21', '10-22', '10-23', '10-24', '10-25', '10-26', '11-21', '11-22', '11-23', '11-24', '11-25', '11-26', '6-21', '6-22', '6-23', '6-24', '6-25', '6-26', '7-21', '7-22', '7-23', '7-24', '7-25', '7-26', '8-21', '8-22', '8-23', '8-24', '8-25', '8-26', '9-21', '9-22', '9-23', '9-24', '9-25', '9-26']",36.0,0.4176762775942656,2394.0,2.0,0.4221348033682787,0.46472990595479763,0.2089351535541689,36.0,26.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_281a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 49/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,36.0,26.0,137.62,
CH_L_281b,4485.0,0.0,0.3960819808828397,0.40185600797655574,"['2-2', '2-3', '2-4', '2-5', '2-6', '3-1', '3-2', '3-3', '3-4', '3-5', '3-6', '4-1', '4-2', '4-3', '4-4', '4-5', '4-6', '5-1', '5-2', '5-3', '5-4', '5-5', '5-6', '6-1', '6-2', '6-3', '6-4', '6-5', '6-6', '7-1', '7-2', '7-3', '7-4', '7-5', '7-6', '8-1', '8-2', '8-3', '8-4', '8-5', '8-6']",41.0,0.4185350770365593,2389.0,2.0,0.4046772465699473,0.4108450436226688,0.10428058238215476,41.0,22.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_281b,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,41.0,22.0,160.95,
CH_L_282a,4114.0,0.0,0.39875101998564816,0.3385270312074401,"['10-10', '10-11', '10-6', '10-7', '10-8', '10-9', '11-10', '11-11', '11-6', '11-7', '11-8', '11-9', '12-10', '12-11', '12-6', '12-7', '12-8', '12-9', '7-10', '7-11', '7-12', '7-7', '7-8', '7-9', '8-10', '8-11', '8-12', '8-6', '8-7', '8-8', '8-9', '9-10', '9-11', '9-6', '9-7', '9-8', '9-9']",37.0,0.37317455481171374,2679.0,2.0,0.39980236361591714,0.3741006769253389,0.19487117942498922,37.0,16.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_282a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,37.0,16.0,150.69,
CH_L_283a,4922.0,0.0,0.7432613070367493,0.9004386277633198,"['10-10', '10-11', '10-6', '10-7', '10-8', '10-9', '11-10', '11-11', '11-6', '11-7', '11-8', '11-9', '12-10', '12-11', '12-6', '12-7', '12-8', '12-9', '7-10', '7-11', '7-6', '7-7', '7-8', '7-9', '8-10', '8-11', '8-6', '8-7', '8-8', '8-9', '9-10', '9-11', '9-6', '9-7', '9-8', '9-9']",36.0,0.4124793472148548,2424.0,2.0,0.7203842670976202,0.8033005172060362,0.19615222648315006,36.0,33.0,True,0.3,40.0,/home/sagemaker-user/HNE/tiles/CH_L_283a,"['Cell_cycle_signature: 19/20 genes', 'EMT_signature: 6/6 genes', 'FMRP_signature: 50/50 genes', 'WNT_signature: 17/17 genes', 'YAP_signature: 6/6 genes']",0.0,36.0,33.0,146.76,
